hs6,term,weight
100001,produit 1,2
100001,reference 1,1
100002,produit 2,2
100002,reference 2,1
100003,produit 3,2
100003,reference 3,1
100004,produit 4,2
100004,reference 4,1
100005,produit 5,2
100005,reference 5,1
100006,produit 6,2
100006,reference 6,1
100007,produit 7,2
100007,reference 7,1
100008,produit 8,2
100008,reference 8,1
100009,produit 9,2
100009,reference 9,1
100010,produit 10,2
100010,reference 10,1
100011,produit 11,2
100011,reference 11,1
100012,produit 12,2
100012,reference 12,1
100013,produit 13,2
100013,reference 13,1
100014,produit 14,2
100014,reference 14,1
100015,produit 15,2
100015,reference 15,1
100016,produit 16,2
100016,reference 16,1
100017,produit 17,2
100017,reference 17,1
100018,produit 18,2
100018,reference 18,1
100019,produit 19,2
100019,reference 19,1
100020,produit 20,2
100020,reference 20,1
100021,produit 21,2
100021,reference 21,1
100022,produit 22,2
100022,reference 22,1
100023,produit 23,2
100023,reference 23,1
100024,produit 24,2
100024,reference 24,1
100025,produit 25,2
100025,reference 25,1
100026,produit 26,2
100026,reference 26,1
100027,produit 27,2
100027,reference 27,1
100028,produit 28,2
100028,reference 28,1
100029,produit 29,2
100029,reference 29,1
100030,produit 30,2
100030,reference 30,1
100031,produit 31,2
100031,reference 31,1
100032,produit 32,2
100032,reference 32,1
100033,produit 33,2
100033,reference 33,1
100034,produit 34,2
100034,reference 34,1
100035,produit 35,2
100035,reference 35,1
100036,produit 36,2
100036,reference 36,1
100037,produit 37,2
100037,reference 37,1
100038,produit 38,2
100038,reference 38,1
100039,produit 39,2
100039,reference 39,1
100040,produit 40,2
100040,reference 40,1
100041,produit 41,2
100041,reference 41,1
100042,produit 42,2
100042,reference 42,1
100043,produit 43,2
100043,reference 43,1
100044,produit 44,2
100044,reference 44,1
100045,produit 45,2
100045,reference 45,1
100046,produit 46,2
100046,reference 46,1
100047,produit 47,2
100047,reference 47,1
100048,produit 48,2
100048,reference 48,1
100049,produit 49,2
100049,reference 49,1
100050,produit 50,2
100050,reference 50,1
100051,produit 51,2
100051,reference 51,1
100052,produit 52,2
100052,reference 52,1
100053,produit 53,2
100053,reference 53,1
100054,produit 54,2
100054,reference 54,1
100055,produit 55,2
100055,reference 55,1
100056,produit 56,2
100056,reference 56,1
100057,produit 57,2
100057,reference 57,1
100058,produit 58,2
100058,reference 58,1
100059,produit 59,2
100059,reference 59,1
100060,produit 60,2
100060,reference 60,1
100061,produit 61,2
100061,reference 61,1
100062,produit 62,2
100062,reference 62,1
100063,produit 63,2
100063,reference 63,1
100064,produit 64,2
100064,reference 64,1
100065,produit 65,2
100065,reference 65,1
100066,produit 66,2
100066,reference 66,1
100067,produit 67,2
100067,reference 67,1
100068,produit 68,2
100068,reference 68,1
100069,produit 69,2
100069,reference 69,1
100070,produit 70,2
100070,reference 70,1
100071,produit 71,2
100071,reference 71,1
100072,produit 72,2
100072,reference 72,1
100073,produit 73,2
100073,reference 73,1
100074,produit 74,2
100074,reference 74,1
100075,produit 75,2
100075,reference 75,1
100076,produit 76,2
100076,reference 76,1
100077,produit 77,2
100077,reference 77,1
100078,produit 78,2
100078,reference 78,1
100079,produit 79,2
100079,reference 79,1
100080,produit 80,2
100080,reference 80,1
100081,produit 81,2
100081,reference 81,1
100082,produit 82,2
100082,reference 82,1
100083,produit 83,2
100083,reference 83,1
100084,produit 84,2
100084,reference 84,1
100085,produit 85,2
100085,reference 85,1
100086,produit 86,2
100086,reference 86,1
100087,produit 87,2
100087,reference 87,1
100088,produit 88,2
100088,reference 88,1
100089,produit 89,2
100089,reference 89,1
100090,produit 90,2
100090,reference 90,1
100091,produit 91,2
100091,reference 91,1
100092,produit 92,2
100092,reference 92,1
100093,produit 93,2
100093,reference 93,1
100094,produit 94,2
100094,reference 94,1
100095,produit 95,2
100095,reference 95,1
100096,produit 96,2
100096,reference 96,1
100097,produit 97,2
100097,reference 97,1
100098,produit 98,2
100098,reference 98,1
100099,produit 99,2
100099,reference 99,1
100100,produit 100,2
100100,reference 100,1
100101,produit 101,2
100101,reference 101,1
100102,produit 102,2
100102,reference 102,1
100103,produit 103,2
100103,reference 103,1
100104,produit 104,2
100104,reference 104,1
100105,produit 105,2
100105,reference 105,1
100106,produit 106,2
100106,reference 106,1
100107,produit 107,2
100107,reference 107,1
100108,produit 108,2
100108,reference 108,1
100109,produit 109,2
100109,reference 109,1
100110,produit 110,2
100110,reference 110,1
100111,produit 111,2
100111,reference 111,1
100112,produit 112,2
100112,reference 112,1
100113,produit 113,2
100113,reference 113,1
100114,produit 114,2
100114,reference 114,1
100115,produit 115,2
100115,reference 115,1
100116,produit 116,2
100116,reference 116,1
100117,produit 117,2
100117,reference 117,1
100118,produit 118,2
100118,reference 118,1
100119,produit 119,2
100119,reference 119,1
100120,produit 120,2
100120,reference 120,1
100121,produit 121,2
100121,reference 121,1
100122,produit 122,2
100122,reference 122,1
100123,produit 123,2
100123,reference 123,1
100124,produit 124,2
100124,reference 124,1
100125,produit 125,2
100125,reference 125,1
100126,produit 126,2
100126,reference 126,1
100127,produit 127,2
100127,reference 127,1
100128,produit 128,2
100128,reference 128,1
100129,produit 129,2
100129,reference 129,1
100130,produit 130,2
100130,reference 130,1
100131,produit 131,2
100131,reference 131,1
100132,produit 132,2
100132,reference 132,1
100133,produit 133,2
100133,reference 133,1
100134,produit 134,2
100134,reference 134,1
100135,produit 135,2
100135,reference 135,1
100136,produit 136,2
100136,reference 136,1
100137,produit 137,2
100137,reference 137,1
100138,produit 138,2
100138,reference 138,1
100139,produit 139,2
100139,reference 139,1
100140,produit 140,2
100140,reference 140,1
100141,produit 141,2
100141,reference 141,1
100142,produit 142,2
100142,reference 142,1
100143,produit 143,2
100143,reference 143,1
100144,produit 144,2
100144,reference 144,1
100145,produit 145,2
100145,reference 145,1
100146,produit 146,2
100146,reference 146,1
100147,produit 147,2
100147,reference 147,1
100148,produit 148,2
100148,reference 148,1
100149,produit 149,2
100149,reference 149,1
100150,produit 150,2
100150,reference 150,1
100151,produit 151,2
100151,reference 151,1
100152,produit 152,2
100152,reference 152,1
100153,produit 153,2
100153,reference 153,1
100154,produit 154,2
100154,reference 154,1
100155,produit 155,2
100155,reference 155,1
100156,produit 156,2
100156,reference 156,1
100157,produit 157,2
100157,reference 157,1
100158,produit 158,2
100158,reference 158,1
100159,produit 159,2
100159,reference 159,1
100160,produit 160,2
100160,reference 160,1
100161,produit 161,2
100161,reference 161,1
100162,produit 162,2
100162,reference 162,1
100163,produit 163,2
100163,reference 163,1
100164,produit 164,2
100164,reference 164,1
100165,produit 165,2
100165,reference 165,1
100166,produit 166,2
100166,reference 166,1
100167,produit 167,2
100167,reference 167,1
100168,produit 168,2
100168,reference 168,1
100169,produit 169,2
100169,reference 169,1
100170,produit 170,2
100170,reference 170,1
100171,produit 171,2
100171,reference 171,1
100172,produit 172,2
100172,reference 172,1
100173,produit 173,2
100173,reference 173,1
100174,produit 174,2
100174,reference 174,1
100175,produit 175,2
100175,reference 175,1
100176,produit 176,2
100176,reference 176,1
100177,produit 177,2
100177,reference 177,1
100178,produit 178,2
100178,reference 178,1
100179,produit 179,2
100179,reference 179,1
100180,produit 180,2
100180,reference 180,1
100181,produit 181,2
100181,reference 181,1
100182,produit 182,2
100182,reference 182,1
100183,produit 183,2
100183,reference 183,1
100184,produit 184,2
100184,reference 184,1
100185,produit 185,2
100185,reference 185,1
100186,produit 186,2
100186,reference 186,1
100187,produit 187,2
100187,reference 187,1
100188,produit 188,2
100188,reference 188,1
100189,produit 189,2
100189,reference 189,1
100190,produit 190,2
100190,reference 190,1
100191,produit 191,2
100191,reference 191,1
100192,produit 192,2
100192,reference 192,1
100193,produit 193,2
100193,reference 193,1
100194,produit 194,2
100194,reference 194,1
100195,produit 195,2
100195,reference 195,1
100196,produit 196,2
100196,reference 196,1
100197,produit 197,2
100197,reference 197,1
100198,produit 198,2
100198,reference 198,1
100199,produit 199,2
100199,reference 199,1
100200,produit 200,2
100200,reference 200,1
