hs6,label_fr,label_en,chapter
100001,Produit export 1,Export product 1,Chapitre 01
100002,Produit export 2,Export product 2,Chapitre 02
100003,Produit export 3,Export product 3,Chapitre 03
100004,Produit export 4,Export product 4,Chapitre 04
100005,Produit export 5,Export product 5,Chapitre 05
100006,Produit export 6,Export product 6,Chapitre 06
100007,Produit export 7,Export product 7,Chapitre 07
100008,Produit export 8,Export product 8,Chapitre 08
100009,Produit export 9,Export product 9,Chapitre 09
100010,Produit export 10,Export product 10,Chapitre 10
100011,Produit export 11,Export product 11,Chapitre 11
100012,Produit export 12,Export product 12,Chapitre 12
100013,Produit export 13,Export product 13,Chapitre 13
100014,Produit export 14,Export product 14,Chapitre 14
100015,Produit export 15,Export product 15,Chapitre 15
100016,Produit export 16,Export product 16,Chapitre 16
100017,Produit export 17,Export product 17,Chapitre 17
100018,Produit export 18,Export product 18,Chapitre 18
100019,Produit export 19,Export product 19,Chapitre 19
100020,Produit export 20,Export product 20,Chapitre 20
100021,Produit export 21,Export product 21,Chapitre 21
100022,Produit export 22,Export product 22,Chapitre 22
100023,Produit export 23,Export product 23,Chapitre 23
100024,Produit export 24,Export product 24,Chapitre 24
100025,Produit export 25,Export product 25,Chapitre 25
100026,Produit export 26,Export product 26,Chapitre 26
100027,Produit export 27,Export product 27,Chapitre 27
100028,Produit export 28,Export product 28,Chapitre 28
100029,Produit export 29,Export product 29,Chapitre 29
100030,Produit export 30,Export product 30,Chapitre 30
100031,Produit export 31,Export product 31,Chapitre 31
100032,Produit export 32,Export product 32,Chapitre 32
100033,Produit export 33,Export product 33,Chapitre 33
100034,Produit export 34,Export product 34,Chapitre 34
100035,Produit export 35,Export product 35,Chapitre 35
100036,Produit export 36,Export product 36,Chapitre 36
100037,Produit export 37,Export product 37,Chapitre 37
100038,Produit export 38,Export product 38,Chapitre 38
100039,Produit export 39,Export product 39,Chapitre 39
100040,Produit export 40,Export product 40,Chapitre 40
100041,Produit export 41,Export product 41,Chapitre 41
100042,Produit export 42,Export product 42,Chapitre 42
100043,Produit export 43,Export product 43,Chapitre 43
100044,Produit export 44,Export product 44,Chapitre 44
100045,Produit export 45,Export product 45,Chapitre 45
100046,Produit export 46,Export product 46,Chapitre 46
100047,Produit export 47,Export product 47,Chapitre 47
100048,Produit export 48,Export product 48,Chapitre 48
100049,Produit export 49,Export product 49,Chapitre 49
100050,Produit export 50,Export product 50,Chapitre 50
100051,Produit export 51,Export product 51,Chapitre 51
100052,Produit export 52,Export product 52,Chapitre 52
100053,Produit export 53,Export product 53,Chapitre 53
100054,Produit export 54,Export product 54,Chapitre 54
100055,Produit export 55,Export product 55,Chapitre 55
100056,Produit export 56,Export product 56,Chapitre 56
100057,Produit export 57,Export product 57,Chapitre 57
100058,Produit export 58,Export product 58,Chapitre 58
100059,Produit export 59,Export product 59,Chapitre 59
100060,Produit export 60,Export product 60,Chapitre 60
100061,Produit export 61,Export product 61,Chapitre 61
100062,Produit export 62,Export product 62,Chapitre 62
100063,Produit export 63,Export product 63,Chapitre 63
100064,Produit export 64,Export product 64,Chapitre 64
100065,Produit export 65,Export product 65,Chapitre 65
100066,Produit export 66,Export product 66,Chapitre 66
100067,Produit export 67,Export product 67,Chapitre 67
100068,Produit export 68,Export product 68,Chapitre 68
100069,Produit export 69,Export product 69,Chapitre 69
100070,Produit export 70,Export product 70,Chapitre 70
100071,Produit export 71,Export product 71,Chapitre 71
100072,Produit export 72,Export product 72,Chapitre 72
100073,Produit export 73,Export product 73,Chapitre 73
100074,Produit export 74,Export product 74,Chapitre 74
100075,Produit export 75,Export product 75,Chapitre 75
100076,Produit export 76,Export product 76,Chapitre 76
100077,Produit export 77,Export product 77,Chapitre 77
100078,Produit export 78,Export product 78,Chapitre 78
100079,Produit export 79,Export product 79,Chapitre 79
100080,Produit export 80,Export product 80,Chapitre 80
100081,Produit export 81,Export product 81,Chapitre 81
100082,Produit export 82,Export product 82,Chapitre 82
100083,Produit export 83,Export product 83,Chapitre 83
100084,Produit export 84,Export product 84,Chapitre 84
100085,Produit export 85,Export product 85,Chapitre 85
100086,Produit export 86,Export product 86,Chapitre 86
100087,Produit export 87,Export product 87,Chapitre 87
100088,Produit export 88,Export product 88,Chapitre 88
100089,Produit export 89,Export product 89,Chapitre 89
100090,Produit export 90,Export product 90,Chapitre 90
100091,Produit export 91,Export product 91,Chapitre 91
100092,Produit export 92,Export product 92,Chapitre 92
100093,Produit export 93,Export product 93,Chapitre 93
100094,Produit export 94,Export product 94,Chapitre 94
100095,Produit export 95,Export product 95,Chapitre 95
100096,Produit export 96,Export product 96,Chapitre 96
100097,Produit export 97,Export product 97,Chapitre 97
100098,Produit export 98,Export product 98,Chapitre 98
100099,Produit export 99,Export product 99,Chapitre 00
100100,Produit export 100,Export product 100,Chapitre 01
100101,Produit export 101,Export product 101,Chapitre 02
100102,Produit export 102,Export product 102,Chapitre 03
100103,Produit export 103,Export product 103,Chapitre 04
100104,Produit export 104,Export product 104,Chapitre 05
100105,Produit export 105,Export product 105,Chapitre 06
100106,Produit export 106,Export product 106,Chapitre 07
100107,Produit export 107,Export product 107,Chapitre 08
100108,Produit export 108,Export product 108,Chapitre 09
100109,Produit export 109,Export product 109,Chapitre 10
100110,Produit export 110,Export product 110,Chapitre 11
100111,Produit export 111,Export product 111,Chapitre 12
100112,Produit export 112,Export product 112,Chapitre 13
100113,Produit export 113,Export product 113,Chapitre 14
100114,Produit export 114,Export product 114,Chapitre 15
100115,Produit export 115,Export product 115,Chapitre 16
100116,Produit export 116,Export product 116,Chapitre 17
100117,Produit export 117,Export product 117,Chapitre 18
100118,Produit export 118,Export product 118,Chapitre 19
100119,Produit export 119,Export product 119,Chapitre 20
100120,Produit export 120,Export product 120,Chapitre 21
100121,Produit export 121,Export product 121,Chapitre 22
100122,Produit export 122,Export product 122,Chapitre 23
100123,Produit export 123,Export product 123,Chapitre 24
100124,Produit export 124,Export product 124,Chapitre 25
100125,Produit export 125,Export product 125,Chapitre 26
100126,Produit export 126,Export product 126,Chapitre 27
100127,Produit export 127,Export product 127,Chapitre 28
100128,Produit export 128,Export product 128,Chapitre 29
100129,Produit export 129,Export product 129,Chapitre 30
100130,Produit export 130,Export product 130,Chapitre 31
100131,Produit export 131,Export product 131,Chapitre 32
100132,Produit export 132,Export product 132,Chapitre 33
100133,Produit export 133,Export product 133,Chapitre 34
100134,Produit export 134,Export product 134,Chapitre 35
100135,Produit export 135,Export product 135,Chapitre 36
100136,Produit export 136,Export product 136,Chapitre 37
100137,Produit export 137,Export product 137,Chapitre 38
100138,Produit export 138,Export product 138,Chapitre 39
100139,Produit export 139,Export product 139,Chapitre 40
100140,Produit export 140,Export product 140,Chapitre 41
100141,Produit export 141,Export product 141,Chapitre 42
100142,Produit export 142,Export product 142,Chapitre 43
100143,Produit export 143,Export product 143,Chapitre 44
